sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Casearia obliqua;Casearia obliqua;Salicaceae;Casearia;species;tree;0.640666667;23;0.069290281;zoochoric;2;
Casearia oblongifolia;Casearia oblongifolia;Salicaceae;Casearia;species;tree;0.631218333;17;0.069290281;zoochoric;3;
Casearia sp.;Casearia sp.;Salicaceae;Casearia;NA;NA;NA;NA;NA;zoochoric;NA;
Casearia sp.1;Casearia sp.;Salicaceae;Casearia;NA;NA;NA;NA;NA;zoochoric;NA;
Casearia sylvestris;Casearia sylvestris;Salicaceae;Casearia;species;tree;0.651875;18;0.006956886;zoochoric;2;
Cassia ferruginea;Cassia ferruginea;Fabaceae;Cassia;species;tree;0.806166667;20;0.080236952;autochoric;2;
Casuarina equisetifolia;Casuarina equisetifolia;Casuarinaceae;Casuarina;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Cathedra bahiensis;Cathedra bahiensis;Olacaceae;Cathedra;species;tree;0.658;8;NA;zoochoric;2;
Cecropia glaziovii;Cecropia glaziovii;Urticaceae;Cecropia;species;tree;0.271600713;23;0.00073494;zoochoric;1;
Cecropia hololeuca;Cecropia hololeuca;Urticaceae;Cecropia;species;tree;0.3808;25;0.001111111;zoochoric;1;
Cecropia pachystachya;Cecropia pachystachya;Urticaceae;Cecropia;species;tree;0.409;20;0.001058333;zoochoric;1;
Cecropia palmata;Cecropia palmata;Urticaceae;Cecropia;species;tree;0.228;19;0.000878237;zoochoric;1;
Cecropia polystachya;Cecropia polystachya;Urticaceae;Cecropia;species;tree;0.342760761;19;0.000878237;zoochoric;1;
Cecropia sp.;Cecropia sp.;Urticaceae;Cecropia;NA;NA;NA;NA;NA;zoochoric;NA;
Cecropia sp.1;Cecropia sp.;Urticaceae;Cecropia;NA;NA;NA;NA;NA;zoochoric;NA;
Cecropia sp.2;Cecropia sp.;Urticaceae;Cecropia;NA;NA;NA;NA;NA;zoochoric;NA;
Cecropia sp.3;Cecropia sp.;Urticaceae;Cecropia;NA;NA;NA;NA;NA;zoochoric;NA;
Cedrela fissilis;Cedrela fissilis;Meliaceae;Cedrela;species;tree;0.494;27;0.036002594;anemochoric;2;
Cedrela odorata;Cedrela odorata;Meliaceae;Cedrela;species;tree;0.472022727;35;0.082318612;anemochoric;2;
Cedrela sp.;Cedrela sp.;Meliaceae;Cedrela;NA;NA;NA;NA;NA;anemochoric;NA;
Cedrela sp.1;Cedrela sp.;Meliaceae;Cedrela;NA;NA;NA;NA;NA;anemochoric;NA;
Ceiba speciosa;Ceiba speciosa;Malvaceae;Ceiba;species;tree;0.35;30;0.151309696;anemochoric;2;
Celastraceae sp.;Celastraceae sp.;Celastraceae;Celastraceae;NA;NA;NA;NA;NA;NA;NA;
Celtis iguanaea;Celtis iguanaea;Cannabaceae;Celtis;species;tree;0.6996;12;0.118843629;zoochoric;1;
Celtis sp.;Celtis sp.;Cannabaceae;Celtis;NA;NA;NA;NA;NA;zoochoric;NA;
Cenchrus purpureus;Cenchrus purpureus;Poaceae;Cenchrus;species;NA;NA;NA;0.00075;anemochoric;NA;also epizoochoric
Cenchrus sp.;Cenchrus sp.;Poaceae;Cenchrus;NA;NA;NA;NA;NA;anemochoric;NA;also epizoochoric
Centrolobium tomentosum;Centrolobium tomentosum;Fabaceae;Centrolobium;species;tree;0.6225;28;9.141414141;anemochoric;2;
Cestrum laevigatum;Cestrum axillare;Solanaceae;Cestrum;species;tree;0.501843042;8;0.0063984;zoochoric;1;
Cestrum mariquitense;Cestrum mariquitense;Solanaceae;Cestrum;species;shrub;0.501843042;7;0.01370888;zoochoric;2;
Cestrum sp.;Cestrum sp.;Solanaceae;Cestrum;NA;NA;NA;NA;NA;zoochoric;NA;
Cestrum sp.1;Cestrum sp.;Solanaceae;Cestrum;NA;NA;NA;NA;NA;zoochoric;NA;
Chaetocarpus myrsinites;Chaetocarpus myrsinites;Peraceae;Chaetocarpus;species;tree;0.793;18;0.090909091;zoochoric;NA;
Chamaecrista ensiformis;Chamaecrista ensiformis;Fabaceae;Chamaecrista;species;tree;0.888428571;19;0.015625;autochoric;2;
Chamissoa altissima;Chamissoa altissima;Amaranthaceae;Chamissoa;species;others;NA;NA;0.003;autochoric;1.5;
Chionanthus trichotomus;Chionanthus trichotomus;Oleaceae;Chionanthus;species;tree;0.7295;16;0.270063657;zoochoric;4;
Chloranthaceae sp.;Chloranthaceae sp.;Chloranthaceae;Chloranthaceae;NA;NA;NA;NA;NA;NA;NA;
Chloris gayana;Chloris gayana;Poaceae;Chloris;species;NA;NA;NA;0.0003;anemochoric;NA;
Chomelia parvifolia;Chomelia parvifolia;Rubiaceae;Chomelia;species;tree;0.714;7;0.104909091;zoochoric;4;
Chromolaena sp.;Chromolaena sp.;Asteraceae;Chromolaena;NA;NA;NA;NA;NA;anemochoric;NA;
Chrysobalanaceae sp.;Chrysobalanaceae sp.;Chrysobalanaceae;Chrysobalanaceae;NA;NA;NA;NA;NA;NA;NA;
Chrysophyllum gonocarpum;Chrysophyllum gonocarpum;Sapotaceae;Chrysophyllum;species;tree;0.68425;22;2.597140049;zoochoric;3;
Chrysophyllum inornatum;Chrysophyllum inornatum;Sapotaceae;Chrysophyllum;species;tree;0.707;17;0.335185185;zoochoric;3;
Chrysophyllum marginatum;Chrysophyllum marginatum;Sapotaceae;Chrysophyllum;species;tree;0.67025;14;0.140212121;zoochoric;2;
Chrysophyllum sp.;Chrysophyllum sp.;Sapotaceae;Chrysophyllum;NA;NA;NA;NA;NA;zoochoric;NA;
Chrysophyllum sp.1;Chrysophyllum sp.;Sapotaceae;Chrysophyllum;NA;NA;NA;NA;NA;zoochoric;NA;
Chrysophyllum viride;Chrysophyllum viride;Sapotaceae;Chrysophyllum;species;tree;0.667761976;29;1.303030303;zoochoric;4;
Chusquea bambusoides;Chusquea bambusoides;Poaceae;Chusquea;species;NA;NA;18;0.004564533;anemochoric|autochoric;NA;
Chusquea sp.;Chusquea sp.;Poaceae;Chusquea;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Chusquea sp.1;Chusquea sp.;Poaceae;Chusquea;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Cinnamodendron dinisii;Cinnamodendron dinisii;Canellaceae;Cinnamodendron;species;tree;0.57;20;0.428571429;zoochoric;3;
Cinnamomum amoenum;Cinnamomum amoenum;Lauraceae;Cinnamomum;species;tree;0.516633333;20;0.239900399;zoochoric;3;
Cinnamomum verum;Cinnamomum verum;Sapotaceae;Cinnamomum;genus;tree;0.516633333;12;0.414661594;zoochoric;3;
Cissampelos andromorpha;Cissampelos andromorpha;Menispermaceae;Cissampelos;species;NA;0.545;NA;0.01253878;zoochoric;NA;
Cissampelos sp.;Cissampelos sp.;Menispermaceae;Cissampelos;NA;NA;NA;NA;NA;zoochoric;NA;
Cissampelos sp.1;Cissampelos sp.;Menispermaceae;Cissampelos;NA;NA;NA;NA;NA;zoochoric;NA;
Cissus sp.;Cissus sp.;Vitaceae;Cissus;NA;NA;NA;NA;NA;zoochoric;NA;
Cissus sp.1;Cissus sp.;Vitaceae;Cissus;NA;NA;NA;NA;NA;zoochoric;NA;
Citharexylum myrianthum;Citharexylum myrianthum;Verbenaceae;Citharexylum;species;tree;0.416666667;19;0.07037037;zoochoric;1;
Citharexylum solanaceum;Citharexylum solanaceum;Verbenaceae;Citharexylum;species;tree;0.7;14;0.588235294;zoochoric;2;
Citronella gongonha;Citronella gongonha;Cardiopteridaceae;Citronella;species;tree;0.65;12;0.090909091;zoochoric;3;
Citronella paniculata;Citronella paniculata;Cardiopteridaceae;Citronella;species;tree;0.488552634;18;1.383333333;zoochoric;3;
Clematis dioica;Clematis dioica;Ranunculaceae;Clematis;genus;NA;0.545;NA;0.001869;anemochoric;NA;liana
Clematis sp.;Clematis sp.;Ranunculaceae;Clematis;NA;NA;NA;NA;NA;anemochoric;NA;
Clethra scabra;Clethra scabra;Clethraceae;Clethra;species;tree;0.4225;20;0.000214815;anemochoric;1;
Clidemia sp.;Clidemia sp.;Melastomataceae;Clidemia;NA;NA;NA;NA;NA;zoochoric;NA;
Clitoria fairchildiana;Clitoria fairchildiana;Fabaceae;Clitoria;species;tree;0.64;18;0.555555556;autochoric;2;
Clusia criuva;Clusia criuva;Clusiaceae;Clusia;species;tree;0.558123259;22;0.00218824;zoochoric;1;
Cnidoscolus quercifolius;Cnidoscolus quercifolius;Euphorbiaceae;Cnidoscolus;species;tree;0.495;12;0.333333333;autochoric;1;
Coccocypselum lanceolatum;Coccocypselum lanceolatum;Rubiaceae;Coccocypselum;species;NA;0.641918268;NA;NA;zoochoric;NA;
Coccoloba excelsa;Coccoloba excelsa;Polygonaceae;Coccoloba;species;tree;0.671272727;6;0.137534867;zoochoric;NA;
Coccoloba mollis;Coccoloba mollis;Polygonaceae;Coccoloba;species;tree;0.678;15;0.149192308;zoochoric;2;
Coccoloba sp.;Coccoloba sp.;Polygonaceae;Coccoloba;NA;NA;NA;NA;NA;zoochoric;NA;
Coccoloba sp.1;Coccoloba sp.;Polygonaceae;Coccoloba;NA;NA;NA;NA;NA;zoochoric;NA;
Coccoloba tenuiflora;Coccoloba densifrons;Polygonaceae;Coccoloba;species;tree;0.58;23;0.137534867;zoochoric;NA;
Coffea arabica;Coffea arabica;Rubiaceae;Coffea;species;shrub;0.61992;5;0.1883;zoochoric;NA;
Colubrina glandulosa;Colubrina glandulosa;Rhamnaceae;Colubrina;species;tree;0.8272;27;0.022408964;zoochoric;2;
Combretum fruticosum;Combretum fruticosum;Combretaceae;Combretum;species;shrub;0.5744;NA;0.348697648;anemochoric;NA;
Commelinaceae sp.;Commelinaceae sp.;Commelinaceae;Commelinaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Condylocarpon sp.;Condylocarpon sp.;Apocynaceae;Condylocarpon;NA;NA;NA;NA;NA;anemochoric;NA;
Condylocarpon sp.1;Condylocarpon sp.;Apocynaceae;Condylocarpon;NA;NA;NA;NA;NA;anemochoric;NA;
Connarus sp.;Connarus sp.;Connaraceae;Connarus;NA;NA;NA;NA;NA;zoochoric;NA;
Connarus sp.1;Connarus sp.;Connaraceae;Connarus;NA;NA;NA;NA;NA;zoochoric;NA;
Convolvulaceae sp.;Convolvulaceae sp.;Convolvulaceae;Convolvulaceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Convolvulaceae sp.1;Convolvulaceae sp.;Convolvulaceae;Convolvulaceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Copaifera langsdorffii;Copaifera langsdorffii;Fabaceae;Copaifera;species;tree;0.635468839;28;1.054913992;zoochoric;3;
Copaifera sp.;Copaifera sp.;Fabaceae;Copaifera;NA;NA;NA;NA;NA;zoochoric;NA;
Copaifera sp.1;Copaifera sp.;Fabaceae;Copaifera;NA;NA;NA;NA;NA;zoochoric;NA;
Copaifera trapezifolia;Copaifera trapezifolia;Fabaceae;Copaifera;species;tree;0.6555;30;1.47708889;zoochoric;4;
Cordia africana;Cordia africana;Rubiaceae;Cordia;genus;tree;0.546459963;NA;0.273327195;zoochoric;NA;
Cordia americana;Cordia americana;Boraginaceae;Cordia;species;tree;0.755428571;30;0.026681557;anemochoric;2;
Cordia ecalyculata;Cordia ecalyculata;Boraginaceae;Cordia;species;tree;0.75775;20;0.262592593;zoochoric;2;
Cordia myxa;Cordia myxa;Boraginaceae;Cordia;genus;tree;0.546459963;NA;0.49255;zoochoric;NA;
Cordia nodosa;Cordia nodosa;Boraginaceae;Cordia;species;tree;0.39;13;0.4633;zoochoric;2;
Cordia polycephala;Varronia polycephala;Boraginaceae;Varronia;species;tree;0.6;10;0.00245;zoochoric;2;
Cordia sellowiana;Cordia sellowiana;Boraginaceae;Cordia;species;tree;0.475631584;19;0.313397129;zoochoric;2;
Cordia silvestris;Cordia silvestris;Boraginaceae;Cordia;species;tree;0.48;30;0.095454545;zoochoric;1;
Cordia sp.;Cordia sp.;Boraginaceae;Cordia;NA;NA;NA;NA;NA;NA;NA;
Cordia sp.1;Cordia sp.;Boraginaceae;Cordia;NA;NA;NA;NA;NA;NA;NA;
Cordia superba;Cordia superba;Boraginaceae;Cordia;species;tree;0.46;13;0.173694635;zoochoric;3;
Cordia trichotoma;Cordia trichotoma;Boraginaceae;Cordia;species;tree;0.6405;21;0.026505602;anemochoric;1;
Cordyline congesta;Cordyline congesta;Boraginaceae;Cordyline;genus;NA;0.27;NA;0.008330488;zoochoric;NA;
Costus spiralis;Costus spiralis;Costaceae;Costus;species;NA;NA;NA;0.002811173;zoochoric;NA;
Couepia sp.;Couepia sp.;Chrysobalanaceae;Couepia;NA;NA;NA;NA;NA;zoochoric;NA;
Couepia sp.1;Couepia sp.;Chrysobalanaceae;Couepia;NA;NA;NA;NA;NA;zoochoric;NA;
Coussapoa microcarpa;Coussapoa microcarpa;Urticaceae;Coussapoa;species;tree;0.53737794;29;0.01;zoochoric;2;
Coussapoa pachyphylla;Coussapoa pachyphylla;Urticaceae;Coussapoa;species;tree;0.494016727;32;0.006;zoochoric;NA;
Coussarea contracta;Coussarea contracta;Rubiaceae;Coussarea;species;tree;0.475;18;0.6;zoochoric;3;
Coussarea sp.;Coussarea sp.;Rubiaceae;Coussarea;NA;NA;NA;NA;NA;zoochoric;NA;
Coutarea hexandra;Coutarea hexandra;Rubiaceae;Coutarea;species;tree;0.6;15;0.002166667;anemochoric;2;
Crotalaria micans;Crotalaria micans;Fabaceae;Crotalaria;species;NA;0.68965031;3;0.0232;autochoric;NA;
Crotalaria pallida;Crotalaria pallida;Fabaceae;Crotalaria;species;NA;0.68965031;2;0.0103681;autochoric;NA;
Croton floribundus;Croton floribundus;Euphorbiaceae;Croton;species;tree;0.49;26;0.040656453;autochoric;1;
Croton glandulosus;Croton glandulosus;Euphorbiaceae;Croton;species;others;0.50832399;NA;0.007357;autochoric;NA;
Croton macrobothrys;Croton macrobothrys;Euphorbiaceae;Croton;species;tree;0.384373862;32;0.113688167;autochoric;1;
Croton piptocalyx;Croton piptocalyx;Euphorbiaceae;Croton;species;tree;0.45;21;0.068047595;autochoric;1;
Croton sp.;Croton sp.;Euphorbiaceae;Croton;NA;NA;NA;NA;NA;autochoric;NA;
Croton sp.1;Croton sp.;Euphorbiaceae;Croton;NA;NA;NA;NA;NA;autochoric;NA;
Croton urucurana;Croton urucurana;Euphorbiaceae;Croton;species;tree;0.485666667;19;0.008585859;autochoric;1;
Cryptocarya aschersoniana;Cryptocarya aschersoniana;Lauraceae;Cryptocarya;species;tree;0.548666667;27;2.131002957;zoochoric;3;
Cryptocarya mandioccana;Cryptocarya mandioccana;Lauraceae;Cryptocarya;species;tree;0.563170287;35;1.1488;zoochoric;3;
Cryptocarya moschata;Cryptocarya moschata;Lauraceae;Cryptocarya;species;tree;0.645;35;2.45;zoochoric;3;
Cryptocarya saligna;Cryptocarya saligna;Lauraceae;Cryptocarya;species;tree;0.570137351;30;2.194470071;zoochoric;3;
Cucurbitaceae sp.;Cucurbitaceae sp.;Cucurbitaceae;Cucurbitaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Cucurbitaceae sp.1;Cucurbitaceae sp.;Cucurbitaceae;Cucurbitaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Cupania emarginata;Cupania emarginata;Sapindaceae;Cupania;species;tree;0.598;15;0.32;zoochoric;2;
Cupania furfuracea;Cupania furfuracea;Sapindaceae;Cupania;species;tree;0.47916635;24;0.43212333;zoochoric;NA;
Cupania impressinervia;Cupania impressinervia;Sapindaceae;Cupania;species;tree;0.623374654;12;0.43212333;zoochoric;1;
Cupania oblongifolia;Cupania oblongifolia;Sapindaceae;Cupania;species;tree;0.6026;22;0.907142857;zoochoric;2;
Cupania platycarpa;Cupania platycarpa;Sapindaceae;Cupania;species;tree;0.7;13;0.625;zoochoric;NA;
Cupania racemosa;Cupania racemosa;Sapindaceae;Cupania;species;tree;0.6;19;0.769230769;zoochoric;2;
Cupania sp.;Cupania sp.;Sapindaceae;Cupania;NA;NA;NA;NA;NA;zoochoric;NA;
Cupania sp.1;Cupania sp.;Sapindaceae;Cupania;NA;NA;NA;NA;NA;zoochoric;NA;
Cupania sp.2;Cupania sp.;Sapindaceae;Cupania;NA;NA;NA;NA;NA;zoochoric;NA;
Cupania vernalis;Cupania vernalis;Sapindaceae;Cupania;species;tree;0.662775;20;0.258782383;zoochoric;2;
Cuspidaria sp.;Cuspidaria sp.;Bignoniaceae;Cuspidaria;NA;NA;NA;NA;NA;anemochoric;NA;
Cybianthus peruvianus;Cybianthus peruvianus;Primulaceae;Cybianthus;species;tree;0.584;11;0.504545455;zoochoric;3;
Cybistax antisyphilitica;Cybistax antisyphilitica;Bignoniaceae;Cybistax;species;tree;0.629;16;0.113330238;anemochoric;2;
Cyperaceae sp.;Cyperaceae sp.;Cyperaceae;Cyperaceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Cyperaceae sp.1;Cyperaceae sp.;Cyperaceae;Cyperaceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Cyperus sp.;Cyperus sp.;Cyperaceae;Cyperus;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Cyperus sp.1;Cyperus sp.;Cyperaceae;Cyperus;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Dalbergia brasiliensis;Dalbergia brasiliensis;Fabaceae;Dalbergia;species;tree;0.874333333;20;0.043478261;anemochoric;2;
Dalbergia frutescens;Dalbergia frutescens;Fabaceae;Dalbergia;species;tree;0.683333333;18;0.197937;anemochoric;2;
Dalbergia nigra;Dalbergia nigra;Fabaceae;Dalbergia;species;tree;0.740785714;25;0.079365079;anemochoric;2;
Dalechampia ficifolia;Dalechampia ficifolia;Euphorbiaceae;Dalechampia;species;NA;0.497855754;NA;0.02153;autochoric;NA;
Dalechampia sp.;Dalechampia sp.;Euphorbiaceae;Dalechampia;NA;NA;NA;NA;NA;autochoric;NA;
Dalechampia sp.1;Dalechampia sp.;Euphorbiaceae;Dalechampia;NA;NA;NA;NA;NA;autochoric;NA;
Daphnopsis sp.;Daphnopsis sp.;Thymelaeaceae;Daphnopsis;NA;NA;NA;NA;NA;zoochoric;NA;
Daphnopsis sp.1;Daphnopsis sp.;Thymelaeaceae;Daphnopsis;NA;NA;NA;NA;NA;zoochoric;NA;
Dasyphyllum brasiliense;Dasyphyllum brasiliense;Asteraceae;Dasyphyllum;species;tree;0.685;20;0.000454545;anemochoric;2;
Dasyphyllum sp.;Dasyphyllum sp.;Asteraceae;Dasyphyllum;NA;NA;NA;NA;NA;anemochoric;NA;
Dasyphyllum sp.1;Dasyphyllum sp.;Asteraceae;Dasyphyllum;NA;NA;NA;NA;NA;anemochoric;NA;
Dasyphyllum spinescens;Dasyphyllum spinescens;Asteraceae;Dasyphyllum;species;tree;0.83;19;0.0005;anemochoric;2;
Davilla elliptica;Davilla elliptica;Dilleniaceae;Davilla;species;shrub;0.492;8;0.051020408;zoochoric;NA;
Davilla grandifolia;Davilla grandifolia;Dilleniaceae;Davilla;species;NA;0.492;NA;0.042013605;zoochoric;NA;
Davilla kunthii;Davilla nitida;Dilleniaceae;Davilla;species;shrub;0.492;NA;0.042013605;zoochoric;NA;
Davilla rugosa;Davilla rugosa;Dilleniaceae;Davilla;species;others;0.492;NA;0.042013605;zoochoric;2;
Davilla sp.;Davilla sp.;Dilleniaceae;Davilla;NA;NA;NA;NA;NA;zoochoric;NA;
Davilla sp.1;Davilla sp.;Dilleniaceae;Davilla;NA;NA;NA;NA;NA;zoochoric;NA;
Dendropanax cuneatus;Dendropanax cuneatus;Araliaceae;Dendropanax;species;tree;0.48855;15;0.005;zoochoric;2;
Dendropanax monogynus;Dendropanax monogynus;Araliaceae;Dendropanax;species;shrub;0.4370125;7;0.006;zoochoric;3;
Dendropanax sp.;Dendropanax sp.;Araliaceae;Dendropanax;NA;NA;NA;NA;NA;zoochoric;NA;
Dendropanax sp.1;Dendropanax sp.;Araliaceae;Dendropanax;NA;NA;NA;NA;NA;zoochoric;NA;
Desmodium adscendens;Desmodium adscendens;Fabaceae;Desmodium;species;NA;0.68965031;NA;0.003360577;autochoric;NA;also epizoochoric
Desmodium psilophyllum;Desmodium psilophyllum;Dilleniaceae;Desmodium;genus;NA;0.589428571;NA;0.001434;autochoric;NA;also epizoochoric
Desmodium sp.;Desmodium sp.;Fabaceae;Desmodium;NA;NA;NA;NA;NA;autochoric;NA;also epizoochoric
Desmodium sp.1;Desmodium sp.;Fabaceae;Desmodium;NA;NA;NA;NA;NA;autochoric;NA;also epizoochoric
Dialium guianense;Dialium guianense;Fabaceae;Dialium;species;tree;0.892933333;32;0.291666667;zoochoric;3;
Diatenopteryx sorbifolia;Diatenopteryx sorbifolia;Sapindaceae;Diatenopteryx;species;tree;0.6715;30;0.07222824;anemochoric;2;
Dichorisandra thyrsiflora;Dichorisandra thyrsiflora;Commelinaceae;Dichorisandra;species;NA;NA;NA;NA;zoochoric;NA;
Dictyoloma vandellianum;Dictyoloma vandellianum;Rutaceae;Dictyoloma;species;tree;0.6;17;0.002020202;anemochoric;2;
Dilodendron bipinnatum;Dilodendron bipinnatum;Sapindaceae;Dilodendron;species;tree;0.4795;18;0.355919625;zoochoric;2;
Dimorphandra exaltata;Dimorphandra exaltata;Fabaceae;Dimorphandra;species;tree;0.737;25;0.426223349;anemochoric;2;
Dioscorea sp.;Dioscorea sp.;Dioscoreaceae;Dioscorea;NA;NA;NA;NA;NA;anemochoric;NA;
Dioscorea sp.1;Dioscorea sp.;Dioscoreaceae;Dioscorea;NA;NA;NA;NA;NA;anemochoric;NA;
Dioscoreaceae sp.;Dioscoreaceae sp.;Dioscoreaceae;Dioscoreaceae;NA;NA;NA;NA;NA;anemochoric;NA;
Diospyros sp.;Diospyros sp.;Ebenaceae;Diospyros;NA;NA;NA;NA;NA;zoochoric;NA;
Diospyros sp.1;Diospyros sp.;Ebenaceae;Diospyros;NA;NA;NA;NA;NA;zoochoric;NA;
Diplopterys pubipetala;Diplopterys pubipetala;Malpighiaceae;Diplopterys;species;others;0.633954639;NA;NA;anemochoric;NA;
Diplotropis incexis;Diplotropis incexis;Fabaceae;Diplotropis;species;tree;0.8;30;0.208333333;anemochoric;2;
Diplotropis purpurea;Diplotropis purpurea;Fabaceae;Diplotropis;species;tree;0.779176471;30;0.16;anemochoric;2;
Diplotropis sp.;Diplotropis sp.;Fabaceae;Diplotropis;NA;NA;NA;NA;NA;autochoric;NA;
Diplotropis sp.1;Diplotropis sp.;Fabaceae;Diplotropis;NA;NA;NA;NA;NA;autochoric;NA;
Dipteryx alata;Dipteryx alata;Fabaceae;Dipteryx;species;tree;0.863555556;15;4.998904762;zoochoric;2;
Dodonaea viscosa;Dodonaea viscosa;Sapindaceae;Dodonaea;species;tree;0.6;8;0.008347826;anemochoric;1;
Doliocarpus dentatus;Doliocarpus dentatus;Dilleniaceae;Doliocarpus;species;shrub;0.589428571;NA;0.26;zoochoric;NA;
Doliocarpus schottianus;Doliocarpus schottianus;Dilleniaceae;Doliocarpus;species;NA;0.589428571;NA;0.12916;zoochoric;NA;
Dorstenia bahiensis;Dorstenia bahiensis;Moraceae;Dorstenia;species;tree;0.597685981;NA;0.001324;zoochoric;NA;
Drimys brasiliensis;Drimys brasiliensis;Winteraceae;Drimys;species;tree;0.636666667;18;0.040880904;zoochoric;3;
Echinolaena inflexa;Echinolaena inflexa;Poaceae;Echinolaena;species;NA;NA;NA;NA;autochoric|zoochoric;NA;
Elachyptera sp.;Elachyptera sp.;Celastraceae;Elachyptera;NA;NA;NA;NA;NA;anemochoric;NA;
Elachyptera sp.1;Elachyptera sp.;Celastraceae;Elachyptera;NA;NA;NA;NA;NA;anemochoric;NA;
Endlicheria paniculata;Endlicheria paniculata;Lauraceae;Endlicheria;species;tree;0.55051847;22;0.983875649;zoochoric;3;
Enterolobium contortisiliquum;Enterolobium contortisiliquum;Fabaceae;Enterolobium;species;tree;0.427615385;27;0.255050265;zoochoric;2;
Epidendrum latilabre;Epidendrum latilabrum;Orchidaceae;Epidendrum;species;NA;NA;NA;0.0000038;anemochoric|autochoric;NA;
Epiphyllum sp.;Epiphyllum sp.;Cactaceae;Epiphyllum;NA;NA;NA;NA;NA;zoochoric;NA;
Eriobotrya japonica;Eriobotrya japonica;Rosaceae;Eriobotrya;species;tree;0.88;12;1.447;zoochoric;2;
Eriotheca macrophylla;Eriotheca macrophylla;Malvaceae;Eriotheca;species;tree;0.443836816;30;0.217391304;anemochoric;2;
Eriotheca pentaphylla;Eriotheca pentaphylla;Malvaceae;Eriotheca;species;tree;0.390160201;30;0.666666667;anemochoric;2;
Eriotheca sp.;Eriotheca sp.;Malvaceae;Eriotheca;NA;NA;NA;NA;NA;anemochoric;NA;
Eriotheca sp.1;Eriotheca sp.;Malvaceae;Eriotheca;NA;NA;NA;NA;NA;anemochoric;NA;
Erythroxylum ambiguum;Erythroxylum ambiguum;Erythroxylaceae;Erythroxylum;species;tree;0.968;9;0.161127658;zoochoric;3;
Erythroxylum argentinum;Erythroxylum argentinum;Erythroxylaceae;Erythroxylum;species;tree;1;9;0.07130303;zoochoric;2;
Erythroxylum deciduum;Erythroxylum deciduum;Erythroxylaceae;Erythroxylum;species;tree;0.6475;10;0.1;zoochoric;2;
Erythroxylum mucronatum;Erythroxylum mucronatum;Erythroxylaceae;Erythroxylum;species;tree;0.681;5;0.161127658;zoochoric;NA;
Erythroxylum pelleterianum;Erythroxylum pelleterianum;Erythroxylaceae;Erythroxylum;species;tree;0.739;10;0.161127658;zoochoric;2;
Erythroxylum pulchrum;Erythroxylum pulchrum;Erythroxylaceae;Erythroxylum;species;tree;0.9605;11;0.23255814;zoochoric;3;
Erythroxylum sp.;Erythroxylum sp.;Erythroxylaceae;Erythroxylum;NA;NA;NA;NA;NA;zoochoric;NA;
Erythroxylum sp.1;Erythroxylum sp.;Erythroxylaceae;Erythroxylum;NA;NA;NA;NA;NA;zoochoric;NA;
Erythroxylum squamatum;Erythroxylum squamatum;Erythroxylaceae;Erythroxylum;species;tree;0.71;11;0.161127658;zoochoric;2;
Erythroxylum umbu;Erythroxylum umbu;Erythroxylaceae;Erythroxylum;species;tree;0.685;12;0.161127658;zoochoric;2;
Eschweilera ovata;Eschweilera ovata;Lecythidaceae;Eschweilera;species;tree;0.916;32;1.818181818;zoochoric;2;
Esenbeckia febrifuga;Esenbeckia febrifuga;Rutaceae;Esenbeckia;species;tree;0.85;11;0.035714286;autochoric;3;
Esenbeckia sp.;Esenbeckia sp.;Rutaceae;Esenbeckia;NA;NA;NA;NA;NA;autochoric;NA;
Esenbeckia sp.1;Esenbeckia sp.;Rutaceae;Esenbeckia;NA;NA;NA;NA;NA;autochoric;NA;
Eucalyptus sp.;Eucalyptus sp.;Myrtaceae;Eucalyptus;NA;NA;NA;NA;NA;autochoric;NA;
Eucalyptus sp.1;Eucalyptus sp.;Myrtaceae;Eucalyptus;NA;NA;NA;NA;NA;autochoric;NA;
Eugenia biflora;Eugenia biflora;Myrtaceae;Eugenia;species;tree;0.8;7;0.09792;zoochoric;2;
Eugenia brasiliensis;Eugenia brasiliensis;Myrtaceae;Eugenia;species;tree;0.71;16;0.081338143;zoochoric;3;
Eugenia cerasiflora;Eugenia cerasiflora;Myrtaceae;Eugenia;species;tree;0.65;20;0.598736467;zoochoric;3;
Eugenia excelsa;Eugenia excelsa;Myrtaceae;Eugenia;species;tree;0.743045709;17;2.059389752;zoochoric;3;
Eugenia expansa;Eugenia expansa;Myrtaceae;Eugenia;species;tree;0.688721354;12;1;zoochoric;3;
Eugenia florida;Eugenia florida;Myrtaceae;Eugenia;species;tree;0.6260625;17;0.833333333;zoochoric;2;
